addrCd,gungu,sido,resNm,rnum,csForCnt,csNatCnt
1117,용산구,서울특별시,국립중앙박물관,5,11178,300711
1123,동대문구,서울특별시,세종대왕기념관,6,0,0
1123,동대문구,서울특별시,서울약령시 한의약박물관,7,370,3984
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,8,33,13570
1141,서대문구,서울특별시,서대문자연사박물관,9,0,30406
1144,마포구,서울특별시,트릭아이미술관,10,14614,7159
1165,서초구,서울특별시,헌릉ㆍ인릉,11,16,5689
1171,송파구,서울특별시,롯데월드,12,0,0
1171,송파구,서울특별시,서울스카이,13,0,0
1171,송파구,서울특별시,아쿠아리움,14,0,0
1111,종로구,서울특별시,창덕궁,1,44138,68627
1111,종로구,서울특별시,경복궁,2,89976,279530
1111,종로구,서울특별시,창경궁,3,5929,49852
1111,종로구,서울특별시,종묘,4,5848,17364
1117,용산구,서울특별시,국립중앙박물관,5,10563,202170
1123,동대문구,서울특별시,세종대왕기념관,6,0,0
1123,동대문구,서울특별시,서울약령시 한의약박물관,7,294,6097
1141,서대문구,서울특별시,서대문자연사박물관,8,0,28354
1144,마포구,서울특별시,트릭아이미술관,9,17191,5122
1165,서초구,서울특별시,헌릉ㆍ인릉,10,18,4449
1171,송파구,서울특별시,롯데월드,11,0,0
1171,송파구,서울특별시,서울스카이,12,0,0
1171,송파구,서울특별시,아쿠아리움,13,0,0
